ticker_b3,svi_adf_stat,svi_adf_pvalor,svi_estacionario,svi_diff_adf_stat,svi_diff_adf_pvalor,svi_diff_estacionario
UCAS3,-10.8692,0.0,True,-11.3447,0.0,True
UGPA3,-3.1619,0.0223,True,-7.7876,0.0,True
UNIP3,-1.5885,0.4894,False,-9.0829,0.0,True
UNIP5,-5.9119,0.0,True,-7.853,0.0,True
UNIP6,-3.4066,0.0107,True,-9.8223,0.0,True
USIM3,-1.9645,0.3023,False,-12.322,0.0,True
USIM5,-2.6253,0.0879,False,-11.9208,0.0,True
USIM6,-16.187,0.0,True,-9.4207,0.0,True
VALE3,-4.6598,0.0001,True,-11.7461,0.0,True
VAMO3,-1.4742,0.5463,False,-7.2479,0.0,True
VBBR3,-2.7276,0.0694,False,-11.1047,0.0,True
VIVA3,-8.9866,0.0,True,-10.3689,0.0,True
VIVR3,-6.2795,0.0,True,-6.2253,0.0,True
VIVT3,-4.0306,0.0013,True,-9.9321,0.0,True
VLID3,-2.6506,0.083,False,-6.2996,0.0,True
VSTE3,-5.9766,0.0,True,-10.5681,0.0,True
VULC3,-0.2809,0.9282,False,-12.7308,0.0,True
WEGE3,-3.7768,0.0032,True,-6.5709,0.0,True
WEST3,-2.909,0.0443,True,-11.807,0.0,True
WHRL3,-16.3549,0.0,True,-7.4035,0.0,True
WHRL4,-3.895,0.0021,True,-7.8033,0.0,True
WIZC3,-1.653,0.4555,False,-5.4873,0.0,True
WLMM4,-16.1866,0.0,True,-8.4676,0.0,True
YDUQ3,-3.2943,0.0151,True,-12.5619,0.0,True
