ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,gamma_m3_medio,gamma_m3_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3
BRSR6,95,0.11172102173289086,0.7680268875527279,23.157894736842106,0.11134812323501067,0.9894802953527797,1.0526315789473684,0.9560064225405114,0.9606053250211202,0.948146671681505
BSLI3,95,1.1197435865863915e-8,0.9999997969225017,0,1.003606089387836e-8,0.9999999876835927,0,0.9952712580384396,0.9961592120547106,0.9961601604677238
CAMB3,95,1.3920698770300951e-8,0.9999998983472922,0,1.0308929617447756e-8,0.9999999809162328,0,0.9875850951780356,0.9877338319105728,0.9877331051933568
CAML3,95,0.05108690290650799,0.9368408747707799,6.315789473684211,0.314579067086802,0.9789472353575589,2.1052631578947367,0.9848250583141955,0.971668306064331,0.9610494226738017
CASH3,95,1.071880339177225e-8,0.9999999859524473,0,1.007354203239951e-8,0.9999999984617959,0,0.9950524215379792,0.9962204263879195,0.9962100648039482
CBEE3,95,1.0008912227881455e-8,0.9999999945511403,0,9.986885594179504e-9,0.9999999955148714,0,0.9546004230209338,0.9954034773479264,0.9955819661772445
CEAB3,95,0.5549387614424149,0.8855543849435031,10.526315789473683,1.3693809165636892,0.9685026395934301,3.1578947368421053,0.9861087259319817,0.976465550220009,0.9767217974631067
CEBR3,95,1.3205474313899455e-8,0.9999991932096233,0,1.0441127695806257e-8,0.9999991136477464,0,0.9926210832680975,0.9925314689952762,0.9925596207251841
CEBR5,95,7.495677524944769e-9,0.9999991007591247,0,8.016888865988524e-9,0.9999998076029342,0,0.951112217385233,0.9515210330975198,0.951572222995734
CEBR6,95,0.07037998566923798,0.8210813318645978,17.894736842105264,0.023967929526825773,0.9799648780308785,1.0526315789473684,0.9913644431812151,0.9930899292988495,0.9913550816470001
CEDO3,95,9.362804937187079e-9,0.9999999970785473,0,9.376592267207878e-9,0.9999999995574256,0,0.9898539932939685,0.9976292226674155,0.9976292288804258
CEDO4,95,3.318661492831243,0.0210526307505904,97.89473684210527,30.526310432187355,0.6980010261691232,30.526315789473685,0.9933741656257995,0.8085356672433264,0.9393263496018143
CEEB3,95,0.07799585480434014,0.6746348506789274,2.1052631578947367,0.42790807749417475,0.8091826010348779,0,0.9622264922709809,0.981749487808138,0.9593503636970633
CEEB5,95,0.0036281574947158225,0.9894736065615601,1.0526315789473684,0.9598706376958284,0.8655154393951966,11.578947368421053,0.9576226474125898,0.9727076811737465,0.9823697057948796
CGAS3,95,0.2591341943329763,0.706005413859455,29.47368421052631,6.349018676803329,0.8290632103971095,12.631578947368421,0.9216027537400915,0.8316720098289765,0.7371149757063201
CGAS5,95,0.2456030467173223,0.15003488486983316,84.21052631578947,0.05848556806056946,0.9053386192174844,5.263157894736842,0.9989999972816875,1.0693330315430944,1.3169958900890721
CGRA3,95,0.16967546007587456,0.5707377565003567,41.05263157894737,0.04934428178324725,0.9480969190283696,0,0.9343592079615984,0.9623126524187705,0.930347247229758
CGRA4,95,0.049039566630521336,0.8842177857363874,11.578947368421053,0.03461556803429842,0.9249126238365306,2.1052631578947367,0.9856162554186896,0.9799909242357113,0.9870763559563088
