ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,gamma_m3_medio,gamma_m3_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3,svi_zeros_pct
FRAS3,95,0.0776,0.6526,34.7368,0.0081,0.9911,0.0,0.9844,0.9722,0.9837,0.1916
GEPA3,95,0.0478,0.9261,1.0526,0.0,1.0,0.0,0.9525,0.9489,0.9468,0.9885
GEPA4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9533,0.9575,0.9569,0.977
GFSA3,95,12.554,0.4632,53.6842,44.9223,0.4947,50.5263,0.8446,0.9486,0.8941,0.0
GGBR3,95,0.0047,0.9792,2.1053,0.0,1.0,0.0,0.9967,0.992,0.9967,0.0805
GGBR4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9922,0.9923,0.9922,0.0
GMAT3,95,0.0692,0.9579,4.2105,0.093,0.9792,2.1053,0.9863,0.9872,0.987,0.0
GOAU3,95,0.0051,0.9793,2.1053,0.0,1.0,0.0,0.9961,0.9939,0.9962,0.1456
GOAU4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9937,0.9938,0.9938,0.0
GRND3,95,0.0141,0.9499,3.1579,0.0,1.0,0.0,0.9857,0.9831,0.9857,0.0
GSHP3,95,0.0128,0.0086,100.0,0.0299,0.8742,0.0,0.7101,0.6342,0.6327,0.9923
HAGA3,95,0.5458,0.8372,6.383,5.2631,0.9157,0.0,0.9631,0.9659,0.9314,0.9693
HAGA4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9977,0.9977,0.9977,0.8736
HAPV3,95,0.9609,0.8421,15.7895,0.5908,0.9895,1.0526,0.971,0.9273,0.9613,0.0
HBOR3,95,0.0648,0.9579,4.2105,0.0,1.0,0.0,0.9809,0.9504,0.982,0.0192
HBRE3,95,0.0077,0.9895,1.0526,0.0,1.0,0.0,0.9979,0.9976,0.9972,0.7816
HBSA3,95,0.0287,0.9684,3.1579,0.0,1.0,0.0,0.9965,0.9954,0.9962,0.2031
HBTS5,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9834,0.9833,0.9833,0.9808
HETA4,95,0.1784,0.9553,4.4944,2.2909,0.8819,0.0,0.9205,0.9204,0.9214,0.9808
HOOT4,95,34.1994,0.5283,46.3158,2.3027,0.8106,18.9474,0.9511,0.9272,0.7586,0.9387
HYPE3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9926,0.9939,0.9939,0.0
INEP3,95,0.2726,0.917,7.3684,0.9012,0.9266,7.3684,0.9589,0.9363,0.9507,0.3831
INEP4,95,0.283,0.8934,10.5263,0.3992,0.9263,7.3684,0.972,0.9737,0.9717,0.4751
INTB3,95,0.0715,0.9579,4.2105,0.1095,0.9895,1.0526,0.9908,0.9808,0.9813,0.0038
IRBR3,95,0.17,0.9368,6.3158,0.0,1.0,0.0,0.9891,0.9903,0.9897,0.0
ISAE3,95,0.0,1.0,0.0,0.0976,0.7329,7.3684,0.8692,0.858,0.8776,0.8161
ISAE4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.8633,0.8996,0.8996,0.7318
ITSA3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9814,0.9846,0.9846,0.0
ITSA4,95,0.1513,0.2558,34.7368,1.0705,0.8562,11.5789,0.9052,0.7927,0.8229,0.0
ITUB3,95,0.0703,0.7817,20.0,0.0082,0.9896,1.0526,0.9737,0.9803,0.9742,0.0
ITUB4,95,0.1966,0.4789,49.4737,0.0,1.0,0.0,0.9637,0.9742,0.9638,0.0
JALL3,95,0.0322,0.9265,7.3684,0.0661,0.9895,1.0526,0.9708,0.9608,0.9646,0.0038
JFEN3,95,6.0775,0.0947,90.5263,13.8214,0.1379,86.3158,0.7498,0.6735,0.6662,0.6667
JHSF3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9974,0.9974,0.9974,0.0
JSLG3,95,0.0635,0.917,7.3684,0.0039,0.9943,0.0,0.9937,0.9829,0.994,0.2414
KEPL3,95,0.0194,0.9789,2.1053,0.0,1.0,0.0,0.9937,0.993,0.9935,0.0268
KLBN11,95,0.0051,0.9791,2.1053,0.0,1.0,0.0,0.9981,0.9977,0.9981,0.0
KLBN3,95,0.0084,0.9559,0.0,0.0,1.0,0.0,0.9946,0.994,0.9949,0.0115
KLBN4,95,0.0099,0.9375,6.3158,0.0,1.0,0.0,0.9973,0.997,0.9971,0.0
LAVV3,95,0.2307,0.4171,56.8421,0.6175,0.8157,11.5789,0.7146,0.6711,0.6366,0.1149
LEVE3,95,0.0105,0.9895,1.0526,0.235,0.9895,1.0526,0.9848,0.9859,0.9783,0.0
LIGT3,95,1.7902,0.6028,38.9474,6.4871,0.7792,22.1053,0.912,0.9704,0.9091,0.0268
LJQQ3,95,0.1702,0.9368,6.3158,1.6767,0.9474,5.2632,0.9763,0.9857,0.9804,0.0038
LOGG3,95,0.14,0.7988,15.7895,0.2847,0.9167,8.4211,0.9361,0.9413,0.9361,0.2375
LOGN3,95,0.5943,0.8526,14.7368,0.8356,0.8548,14.7368,0.9818,0.9751,0.9408,0.6207
LPSB3,95,0.1259,0.9075,7.3684,1.0282,0.8448,15.7895,0.8284,0.8693,0.8603,0.5479
LREN3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9957,0.9958,0.9958,0.0
LUPA3,95,4.8563,0.2955,69.4737,7.7427,0.4842,51.5789,0.8722,0.9132,0.8382,0.1073
LUXM4,95,0.0076,0.9902,0.0,0.6959,0.9744,0.0,0.9529,0.9534,0.9519,0.9808
LWSA3,95,0.812,0.7579,24.2105,7.7155,0.874,12.6316,0.9387,0.8611,0.8511,0.0
MBRF3,95,0.4591,0.8848,10.5263,4.1878,0.8793,9.4737,0.9557,0.9429,0.939,0.8889
MDIA3,95,0.1625,0.9158,8.4211,0.5533,0.9474,5.2632,0.9854,0.9787,0.9367,0.0115
MDNE3,95,0.0347,0.9474,5.2632,0.0727,0.9895,1.0526,0.9496,0.9569,0.9495,0.1992
MEAL3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9935,0.984,0.9938,0.0345
